Language Name,Web API language code,Steamworks API
Arabic,ar,arabic
Bulgarian,bg,bulgarian
Chinese (Simplified),zh-CN,schinese
Chinese (Traditional),zh-TW,tchinese
Czech,cs,czech
Danish,da,danish
Dutch,nl,dutch
English,en,english
Finnish,fi,finnish
French,fr,french
German,de,german
Greek,el,greek
Hungarian,hu,hungarian
Italian,it,italian
Japanese,ja,japanese
Korean,ko,koreana
Norwegian,no,norwegian
Polish,pl,polish
Portuguese (Brazil),pt-BR,brazilian
Portuguese (Portugal),pt,portuguese
Romanian,ro,romanian
Russian,ru,russian
Spanish (Latin America),es-419,latam
Spanish (Spain),es,spanish
Swedish,sv,swedish
Thai,th,thai
Turkish,tr,turkish
Ukrainian,uk,ukrainian
Vietnamese,vn,vietnamese
